# Amorphous pyroxene, 50/50 Mg/Fe
# File from David Harker, UCSD
# wave(microns)  Re           Im
 0.200000      1.69200      0.126100
 0.220000      1.68200      0.159452
 0.240000      1.68266      0.170723
 0.260000      1.69213      0.172362
 0.280000      1.70312      0.165792
 0.300000      1.71264      0.155402
 0.320000      1.72198      0.139879
 0.340000      1.72558      0.120936
 0.360000      1.72335      0.104020
 0.370000      1.72110      0.0971348
 0.380000      1.71897      0.0906120
 0.390000      1.71642      0.0851756
 0.400000      1.71400      0.0800110
 0.410000      1.71148      0.0753623
 0.420000      1.70908      0.0709350
 0.430000      1.70658      0.0669809
 0.440000      1.70420      0.0632066
 0.450000      1.70192      0.0596000
 0.460000      1.69900      0.0563826
 0.480000      1.69353      0.0503500
 0.500000      1.68849      0.0448000
 0.550000      1.68347      0.0340000
 0.600000      1.67962      0.0271000
 0.650000      1.67491      0.0212000
 0.700000      1.67114      0.0173000
 0.750000      1.67042      0.0150000
 0.800000      1.67083      0.0130000
 0.900000      1.67348      0.0110000
 1.00000      1.66474      0.0106000
 1.10000      1.66406      0.00929000
 1.20000      1.66345      0.00763000
 1.30000      1.65860      0.00562000
 1.40000      1.65851      0.00457400
 1.50000      1.65311      0.00418500
 1.60000      1.65154      0.00398800
 1.70000      1.64891      0.00392400
 1.80000      1.64300      0.00390100
 1.90000      1.64089      0.00380300
 2.00000      1.63961      0.00368700
 2.20000      1.63421      0.00317700
 2.40000      1.63139      0.00277100
 2.50000      1.63088      0.00265556
 2.60000      1.63040      0.00254900
 2.80000      1.62572      0.00249600
 3.00000      1.62072      0.00243500
 3.50000      1.61005      0.00235500
 4.00000      1.60240      0.00232500
 4.50000      1.59007      0.00241500
 5.00000      1.57198      0.00394300
 5.50000      1.54960      0.00559500
 6.00000      1.51445      0.00529200
 6.50000      1.47482      0.00553000
 7.00000      1.42639      0.00687300
 7.50000      1.34170      0.0101520
 8.00000      1.17900      0.0800000
 8.20000      1.09971      0.174299
 8.40000      1.04942      0.283574
 8.60000      1.02252      0.402287
 8.80000      1.02397      0.550100
 9.00000      1.11165      0.690516
 9.20000      1.19483      0.764587
 9.40000      1.28246      0.837277
 9.60000      1.39160      0.891191
 9.80000      1.50302      0.906286
 10.0000      1.59146      0.899745
 10.2000      1.67003      0.894592
 10.4000      1.74913      0.883678
 10.6000      1.83128      0.865377
 10.8000      1.91529      0.830937
 11.0000      1.99243      0.774737
 11.2000      2.05498      0.701662
 11.4000      2.09654      0.617208
 11.6000      2.12138      0.526409
 11.8000      2.11726      0.430532
 12.0000      2.09150      0.343929
 12.5000      1.95338      0.222494
 13.0000      1.82813      0.192467
 13.5000      1.73426      0.209341
 14.0000      1.67644      0.237457
 14.5000      1.62253      0.258699
 15.0000      1.55611      0.286465
 15.5000      1.47087      0.332634
 16.0000      1.40774      0.431476
 16.5000      1.38302      0.549423
 17.0000      1.39201      0.662267
 17.5000      1.43080      0.768590
 18.0000      1.49015      0.859168
 18.5000      1.56233      0.923043
 19.0000      1.62861      0.966874
 19.5000      1.68503      1.00435
 20.0000      1.73778      1.04929
 21.0000      1.91791      1.17188
 22.0000      2.17352      1.09713
 23.0000      2.26070      0.958625
 24.0000      2.27706      0.876735
 25.0000      2.28490      0.835082
 26.0000      2.29200      0.814357
 27.0000      2.31373      0.807300
 28.0000      2.33953      0.801926
 29.0000      2.37106      0.796287
 30.0000      2.40638      0.785840
 32.0000      2.47586      0.753022
 34.0000      2.53527      0.706568
 36.0000      2.57678      0.652521
 38.0000      2.60435      0.598526
 40.0000      2.61707      0.552510
 45.0000      2.62687      0.477036
 50.0000      2.63942      0.423418
 55.0000      2.65023      0.380857
 60.0000      2.65362      0.363516
 65.0000      2.66176      0.326641
 70.0000      2.67168      0.304631
 75.0000      2.67122      0.289556
 80.0000      2.68616      0.269921
 100.000      2.69035      0.220000
