# Amorphous olivine, 50/50 Mg/Fe
# File from David Harker, UCSD
# wave(microns)  Re           Im
 0.200000      1.63900      0.252700
 0.220000      1.64627      0.296752
 0.240000      1.67366      0.306467
 0.260000      1.69930      0.298033
 0.280000      1.72027      0.284053
 0.300000      1.73932      0.267913
 0.320000      1.75598      0.248871
 0.340000      1.76952      0.226834
 0.360000      1.77788      0.203944
 0.370000      1.78018      0.192781
 0.380000      1.78236      0.182206
 0.390000      1.78269      0.172203
 0.400000      1.78300      0.162700
 0.410000      1.78229      0.154168
 0.420000      1.78162      0.146043
 0.430000      1.77997      0.138893
 0.440000      1.77840      0.132067
 0.450000      1.77690      0.125545
 0.460000      1.77497      0.120166
 0.480000      1.77134      0.110079
 0.500000      1.76800      0.100800
 0.550000      1.75811      0.0844170
 0.600000      1.75002      0.0733880
 0.650000      1.74332      0.0660470
 0.700000      1.73674      0.0615870
 0.750000      1.73203      0.0593660
 0.800000      1.72800      0.0589400
 0.900000      1.72423      0.0624330
 1.00000      1.72600      0.0686670
 1.10000      1.73405      0.0739060
 1.20000      1.74488      0.0753120
 1.30000      1.75640      0.0727200
 1.40000      1.76560      0.0673190
 1.50000      1.77255      0.0606190
 1.60000      1.77740      0.0537900
 1.70000      1.78088      0.0473000
 1.80000      1.78352      0.0413580
 1.90000      1.78490      0.0363150
 2.00000      1.78600      0.0314720
 2.20000      1.78454      0.0228070
 2.40000      1.77993      0.0164500
 2.50000      1.77862      0.0151271
 2.60000      1.77741      0.0139060
 2.80000      1.77367      0.0124920
 3.00000      1.76980      0.0118190
 3.50000      1.75722      0.0102370
 4.00000      1.74736      0.00911600
 4.50000      1.73505      0.00861600
 5.00000      1.71327      0.00892500
 5.50000      1.69049      0.00960000
 6.00000      1.66058      0.00953800
 6.50000      1.62796      0.00948000
 7.00000      1.58174      0.0102480
 7.50000      1.52459      0.0117490
 8.00000      1.43225      0.0180340
 8.20000      1.37730      0.0292830
 8.40000      1.31056      0.0689070
 8.60000      1.23979      0.130354
 8.80000      1.17811      0.208844
 9.00000      1.13066      0.322395
 9.20000      1.11797      0.450726
 9.40000      1.14521      0.578708
 9.60000      1.20485      0.692721
 9.80000      1.28446      0.788015
 10.0000      1.38578      0.858723
 10.2000      1.49069      0.900194
 10.4000      1.59071      0.924853
 10.6000      1.69936      0.936368
 10.8000      1.80980      0.914062
 11.0000      1.90320      0.873590
 11.2000      1.98451      0.821378
 11.4000      2.06116      0.754132
 11.6000      2.11992      0.659036
 11.8000      2.15139      0.555593
 12.0000      2.14595      0.449014
 12.5000      2.01853      0.259213
 13.0000      1.84399      0.198182
 13.5000      1.70781      0.224203
 14.0000      1.62867      0.269157
 14.5000      1.55464      0.304912
 15.0000      1.45256      0.345071
 15.5000      1.35160      0.457960
 16.0000      1.29076      0.611700
 16.5000      1.30294      0.781527
 17.0000      1.35643      0.920307
 17.5000      1.43702      1.03410
 18.0000      1.53147      1.11580
 18.5000      1.62769      1.16322
 19.0000      1.70799      1.19249
 19.5000      1.78474      1.21169
 20.0000      1.84904      1.22626
 21.0000      1.95621      1.23110
 22.0000      2.02547      1.24423
 23.0000      2.09904      1.27883
 24.0000      2.18235      1.32251
 25.0000      2.29287      1.34780
 26.0000      2.39621      1.35215
 27.0000      2.49781      1.34649
 28.0000      2.60692      1.32236
 29.0000      2.70340      1.29470
 30.0000      2.78852      1.23395
 32.0000      2.89845      1.10453
 34.0000      2.95622      0.996759
 36.0000      2.97569      0.909601
 38.0000      3.01692      0.839224
 40.0000      3.02198      0.769572
 45.0000      3.03109      0.680491
 50.0000      3.04988      0.628184
 55.0000      3.08129      0.548553
 60.0000      3.09163      0.500892
 65.0000      3.09794      0.449979
 70.0000      3.10000      0.418000
 75.0000      3.10000      0.390000
 80.0000      3.10000      0.366000
 100.000      3.10000      0.292000
